Borough;Neighborhood;Latitude;Longitude
Centro;Palacio;40.415;-3.713333
Centro;Embajadores;40.408889;-3.699722
Centro;Cortes;40.414167;-3.698056
Centro;Justicia;40.423889;-3.696389
Centro;Universidad;40.425278;-3.708333
Centro;Sol;40.416667;-3.703889
Arganzuela;Imperial;40.406667;-3.716944
Arganzuela;Acacias;40.401422;-3.704936
Arganzuela;Chopera;40.395;-3.699444
Arganzuela;Legazpi;40.388611;-3.695178
Arganzuela;Delicias;40.395833;-3.689444
Arganzuela;Palos de Moguer;40.403889;-3.693889
Arganzuela;Atocha;40.400278;-3.683056
Retiro;Pacífico;40.404722;-3.675833
Retiro;Adelfas;40.400278;-3.670833
Retiro;Estrella;40.413611;-3.664167
Retiro;Ibiza;40.418889;-3.674167
Retiro;Jeronimos;40.413889;-3.690833
Retiro;Nino Jesus;40.411667;-3.673889
Salamanca;Recoletos ;40.424167;-3.686389
Salamanca;Goya;40.424722;-3.677222
Salamanca;Fuente del Berro;40.424722;-3.663889
Salamanca;Guindalera;40.436169;-3.673128
Salamanca;Lista;40.432778;-3.674444
Salamanca;Castellana;40.432806;-3.683528
Chamartin;El Viso;40.444367;-3.688831
Chamartin;Prosperidad;40.445;-3.67
Chamartin;Ciudad Jardin;40.446944;-3.671667
Chamartin;Hispanoamerica;40.455556;-3.676667
Chamartin;Nueva España;40.463056;-3.6775
Chamartin;Castilla;40.475;-3.678889
Tetuan;Bellas Vistas;40.452458;-3.70719
Tetuan;Cuatro Caminos;40.450278;-3.695833
Tetuan;Castillejos;40.461389;-3.6925
Tetuan;Almenara;40.47129;-3.695505
Tetuan;Valdeacederas;40.468611;-3.705556
Tetuan;Berruguete;40.4575;-3.705556
Chamberi;Gaztambide;40.434722;-3.714722
Chamberi;Arapiles;40.434167;-3.707778
Chamberi;Trafalgar;40.433056;-3.700556
Chamberi;Almagro;40.431667;-3.694167
Chamberi;Rios Rosas;40.442222;-3.697222
Chamberi;Vallehermoso;40.442778;-3.711667
Fuencarral-El Pardo;El Pardo;40.516667;-3.766667
Fuencarral-El Pardo;Fuentelarreina;40.481944;-3.7425
Fuencarral-El Pardo;Peñagrande;40.478056;-3.725556
Fuencarral-El Pardo;Pilar;40.478228;-3.711542
Fuencarral-El Pardo;La Paz;40.481389;-3.696944
Fuencarral-El Pardo;Valverde;40.505833;-3.685833
Fuencarral-El Pardo;Mirasierra;40.491667;-3.708056
Fuencarral-El Pardo;El Goloso;40.556111;-3.703333
Moncloa-Aravaca;Casa de Campo;40.422692;-3.7494
Moncloa-Aravaca;Arguelles;40.429161;-3.718847
Moncloa-Aravaca;Ciudad Universitaria;40.443889;-3.726197
Moncloa-Aravaca;Valdezarza;40.465;-3.718333
Moncloa-Aravaca;Valdemarin;40.4726;-3.78024
Moncloa-Aravaca;El Plantio;40.4708;-3.825561
Moncloa-Aravaca;Aravaca;40.45;-3.783333
Latina;Los Carmenes;40.406944;-3.726389
Latina;Puerta del Angel;40.411944;-3.729722
Latina;Lucero;40.410556;-3.735833
Latina;Aluche;40.3875;-3.754167
Latina;Campamento;40.3875;-3.781944
Latina;Cuatro Vientos;40.3775;-3.791111
Latina;Las Aguilas;40.3775;-3.764167
Carabanchel;Comillas;40.392778;-3.713889
Carabanchel;Opañel;40.388889;-3.728056
Carabanchel;San Isidro;40.398889;-3.726389
Carabanchel;Vista Alegre;40.386111;-3.738889
Carabanchel;Puerta Bonita;40.381944;-3.736389
Carabanchel;Buenavista;40.366667;-3755
Carabanchel;Abrantes;40.380556;-3.723889
Usera;Orcasitas;40.368611;-3.711944
Usera;Orcasur;40.367222;-3.699167
Usera;San Fermin;40.368896;-3.684154
Usera;Almendrales;40.383611;-3.698889
Usera;Moscardo;40.39;-3.707778
Usera;Zofio;40.379167;-3.715278
Usera;Pradolongo;40.378333;-3.706111
Puente de Vallecas;Entrevias;40.375544;-3.671708
Puente de Vallecas;San Diego;40.396389;-3.667222
Puente de Vallecas;Palomeras Bajas;40.387222;-3.657222
Puente de Vallecas;Palomeras Sureste;40.387778;-3.639444
Puente de Vallecas;Portazgo ;40.3925;-3.64972
Puente de Vallecas;Numancia ;40.400833;-3.663056
Moratalaz;Pavones;40.394722;-3.633056
Moratalaz;Horcajo;40.411389;-3.626944
Moratalaz;Marroquina;40.411111;-3.641111
Moratalaz;Media Legua;40.414167;-3.654722
Moratalaz;Fontarron;40.401389;-3.645278
Moratalaz;Vinateros;40.403056;-3.640278
Ciudad Lineal;Ventas;40.428333;-3.6575
Ciudad Lineal;Pueblo Nuevo;40.425278;-3.635278
Ciudad Lineal;Quintana;40.4375;-3.642222
Ciudad Lineal;Concepcion;40.440278;-3.648056
Ciudad Lineal;San Pascual;40.4425;-3.6525
Ciudad Lineal;San Juan Bautista;40.45;-3.656667
Ciudad Lineal;Colina;40.456667;-3.661944
Ciudad Lineal;Atalaya;40.466111;-3.666944
Ciudad Lineal;Costillares;40.474444;-3.669722
Hortaleza;Palomas;40.453611;-3.618056
Hortaleza;Piovera;40.453611;-3.640278
Hortaleza;Canillas;40.459722;-3.645556
Hortaleza;Pinar del Rey;40.464722;-3.655556
Hortaleza;Apostol Santiago;40.474992;-3.662278
Hortaleza;Valdefuentes;40.490556;-3.623889
Villaverde;Villaverde Alto;40.347778;-3.711667
Villaverde;San Cristobal;40.343333;-3.688611
Villaverde;Butarque;40.343611;-3.679722
Villaverde;Los Rosales;40.360281;-3.685561
Villaverde;Los Angeles;40.356667;-3.699167
Villa de Vallecas;Casco Historico de Vallecas;40.359444;-3.636389
Villa de Vallecas;Santa Eugenia;40.383333;-3.611389
Villa de Vallecas;Ensanche de Vallecas;40.365528;-3.603264
Vicalvaro;Casco Historico de Vicalvaro;40.396944;-3615
Vicalvaro;Valdebernardo;40.397593;-3.622538
Vicalvaro;Valderrivas;40.401583;-3.599094
Vicalvaro;El Canaveral;40.401433;-3.552617
San Blas-Canillejas;Simancas;40.428056;-3.625278
San Blas-Canillejas;Hellin;40.430278;-3.618889
San Blas-Canillejas;Amposta;40.430278;-3.619444
San Blas-Canillejas;Arcos;40.423889;-3.613056
San Blas-Canillejas;Rosas;40.434869;-3.604275
San Blas-Canillejas;Rejas;40.443611;-3595
San Blas-Canillejas;Canillejas;40.45;-3.616667
San Blas-Canillejas;Salvador;40.444444;-3.633056
Barajas;Alameda de Osuna;40.457222;-3.587778
Barajas;Aeropuerto ;40.494167;-3.566944
Barajas;Casco Historico de Barajas;40.473611;-3.577222
Barajas;Timon;40.4767;-3.61417
Barajas;Corralejos ;40.464444;-3.59